rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8
38933,38695,37431,39881,40000,39130,39446,39802
37628,38656,38063,39644,39881,39091,39486,39486
37984,38814,39486,39446,39446,39012,39446,39249
38893,40039,41383,39763,39565,39605,39525,39446
39605,42174,42767,40197,40237,40632,39921,39881
40632,44150,42767,40316,40672,41344,40276,40356
40948,43399,41858,40197,40593,41225,40316,40395
40909,41620,41265,39802,40079,40395,40000,40316
40711,39367,40988,39565,39802,39921,39842,40079
40474,37312,40395,39565,39644,39644,39605,39881
40197,37154,39486,39525,39525,39170,39367,39842
39802,38261,39012,39407,39446,39051,39367,39842
39525,38221,39091,39328,39446,39170,39565,39723
39328,38063,39209,39446,39486,39091,39486,39525
39328,38498,38933,39644,39446,39051,39407,39130
39170,39960,38419,39763,39723,39565,39525,39170
38933,40672,38300,40000,40079,40118,39644,39407
38103,38814,38537,39921,40039,40079,39605,39446
38221,37984,38656,39446,39407,39684,39605,39486
39644,40118,38616,39091,39012,39486,39525,39605
40790,42688,38735,39170,39209,39644,39605,39842
40988,43241,39091,39249,39486,39723,39723,40039
40909,40988,39367,39407,39723,39802,39763,40316
40988,38261,39881,39763,39960,39842,39802,40435
40593,37707,40711,40000,40316,40039,39763,40356
39723,38774,41581,40276,40593,40474,39881,40276
39170,39842,42134,40356,40474,40593,40000,40197
39525,41107,42450,40079,40039,40158,39763,39921
40079,41818,42332,40197,40039,40118,39723,39486
